tokens,frequency,relative_frequency
many,28,0.0021106588270767375
reception,28,0.0021106588270767375
decor,28,0.0021106588270767375
design,28,0.0021106588270767375
everything,27,0.0020352781546811396
bed,27,0.0020352781546811396
bathroom,26,0.001959897482285542
much,26,0.001959897482285542
around,26,0.001959897482285542
high,26,0.001959897482285542
lobby,26,0.001959897482285542
quite,25,0.0018845168098899443
desk,25,0.0018845168098899443
michelin,25,0.0018845168098899443
suite,25,0.0018845168098899443
got,24,0.0018091361374943465
trip,24,0.0018091361374943465
evening,24,0.0018091361374943465
facilities,24,0.0018091361374943465
first,24,0.0018091361374943465
cruise,24,0.0018091361374943465
bit,24,0.0018091361374943465
visit,23,0.0017337554650987486
however,23,0.0017337554650987486
bay,23,0.0017337554650987486
recommend,23,0.0017337554650987486
loved,23,0.0017337554650987486
harbor,22,0.001658374792703151
nights,22,0.001658374792703151
harbour,22,0.001658374792703151
way,22,0.001658374792703151
walking,21,0.001582994120307553
extremely,21,0.001582994120307553
ever,21,0.001582994120307553
want,21,0.001582994120307553
attentive,21,0.001582994120307553
make,21,0.001582994120307553
fantastic,21,0.001582994120307553
dinner,21,0.001582994120307553
art,21,0.001582994120307553
right,21,0.001582994120307553
hotels,20,0.0015076134479119555
buffet,20,0.0015076134479119555
booked,20,0.0015076134479119555
lot,20,0.0015076134479119555
enjoyed,20,0.0015076134479119555
water,19,0.0014322327755163576
quality,19,0.0014322327755163576
amenities,19,0.0014322327755163576
warm,18,0.0013568521031207597
truly,18,0.0013568521031207597
amalfi,18,0.0013568521031207597
arrival,18,0.0013568521031207597
gym,18,0.0013568521031207597
people,17,0.001281471430725162
next,17,0.001281471430725162
spent,17,0.001281471430725162
arrived,17,0.001281471430725162
staying,17,0.001281471430725162
left,17,0.001281471430725162
everyone,17,0.001281471430725162
professional,17,0.001281471430725162
expensive,17,0.001281471430725162
poor,16,0.0012060907583295642
space,16,0.0012060907583295642
especially,16,0.0012060907583295642
exceptional,16,0.0012060907583295642
better,16,0.0012060907583295642
little,16,0.0012060907583295642
looking,16,0.0012060907583295642
flight,16,0.0012060907583295642
spacious,16,0.0012060907583295642
feel,15,0.0011307100859339666
ships,15,0.0011307100859339666
use,15,0.0011307100859339666
overall,15,0.0011307100859339666
take,15,0.0011307100859339666
drinks,15,0.0011307100859339666
end,15,0.0011307100859339666
although,15,0.0011307100859339666
distance,15,0.0011307100859339666
9th,15,0.0011307100859339666
beds,15,0.0011307100859339666
super,15,0.0011307100859339666
located,15,0.0011307100859339666
special,15,0.0011307100859339666
birthday,15,0.0011307100859339666
