bigram,frequency,bigrams
"('the', '9th')",11,the 9th
"('port', 'and')",11,port and
"('helpful', 'the')",11,helpful the
"('was', 'nice')",11,was nice
"('room', 'with')",11,room with
"('and', 'well')",11,and well
"('to', 'our')",11,to our
"('the', 'decor')",11,the decor
"('on', 'a')",11,on a
"('mt', 'vesuvius')",11,mt vesuvius
"('stayed', 'in')",11,stayed in
"('the', 'most')",11,the most
"('service', 'and')",11,service and
"('in', 'our')",11,in our
"('at', 'romeo')",11,at romeo
"('view', 'from')",11,view from
"('amazing', 'and')",11,amazing and
"('restaurant', 'on')",11,restaurant on
"('for', 'my')",11,for my
"('great', 'the')",10,great the
"('a', 'little')",10,a little
"('we', 'loved')",10,we loved
"('service', 'is')",10,service is
"('to', 'see')",10,to see
"('the', 'only')",10,the only
"('but', 'i')",10,but i
"('i', 'm')",10,i m
"('and', 'had')",10,and had
"('the', 'harbor')",10,the harbor
"('don', 't')",10,don t
"('lots', 'of')",10,lots of
"('ask', 'for')",10,ask for
"('when', 'i')",10,when i
"('great', 'location')",10,great location
"('very', 'clean')",10,very clean
"('my', 'wife')",10,my wife
"('i', 've')",10,i ve
"('we', 'will')",10,we will
"('but', 'we')",10,but we
"('walk', 'to')",10,walk to
"('recommend', 'this')",10,recommend this
"('views', 'of')",10,views of
"('to', 'capri')",10,to capri
"('the', 'facilities')",9,the facilities
"('was', 'clean')",9,was clean
"('we', 'booked')",9,we booked
"('and', 'attentive')",9,and attentive
"('to', 'walk')",9,to walk
"('we', 'would')",9,we would
"('are', 'very')",9,are very
"('would', 'definitely')",9,would definitely
"('rooms', 'and')",9,rooms and
"('a', 'day')",9,a day
"('beautiful', 'hotel')",9,beautiful hotel
"('a', 'fantastic')",9,a fantastic
"('i', 'have')",9,i have
"('to', 'use')",9,to use
"('back', 'to')",9,back to
"('an', 'amazing')",9,an amazing
"('romeo', 'is')",9,romeo is
"('access', 'to')",9,access to
"('but', 'not')",9,but not
"('room', 'to')",9,room to
"('excellent', 'the')",9,excellent the
"('and', 'pool')",9,and pool
"('when', 'you')",9,when you
"('in', 'this')",9,in this
"('to', 'a')",9,to a
"('as', 'we')",9,as we
"('hotel', 'to')",9,hotel to
"('ferry', 'to')",9,ferry to
"('well', 'appointed')",9,well appointed
"('to', 'take')",9,to take
"('we', 'didn')",9,we didn
"('which', 'is')",9,which is
"('staff', 'and')",9,staff and
"('an', 'excellent')",9,an excellent
"('i', 'can')",9,i can
"('the', 'main')",9,the main
"('was', 'amazing')",9,was amazing
"('and', 'modern')",9,and modern
"('great', 'view')",9,great view
"('loved', 'the')",9,loved the
"('the', 'reception')",9,the reception
"('floor', 'restaurant')",9,floor restaurant
"('spa', 'is')",9,spa is
"('couldn', 't')",9,couldn t
"('you', 'want')",9,you want
"('was', 'also')",9,was also
"('has', 'a')",9,has a
"('the', 'amalfi')",9,the amalfi
"('would', 'have')",8,would have
"('have', 'been')",8,have been
"('was', 'too')",8,was too
"('breakfast', 'and')",8,breakfast and
"('naples', 'we')",8,naples we
"('i', 'am')",8,i am
"('the', 'manager')",8,the manager
"('and', 'staff')",8,and staff
"('hotel', 'we')",8,hotel we
"('pool', 'area')",8,pool area
"('our', 'honeymoon')",8,our honeymoon
"('five', 'star')",8,five star
"('room', 'the')",8,room the
"('end', 'of')",8,end of
"('the', 'end')",8,the end
"('for', 'this')",8,for this
"('vesuvius', 'and')",8,vesuvius and
"('a', 'high')",8,a high
"('we', 'also')",8,we also
"('stayed', 'at')",8,stayed at
"('location', 'was')",8,location was
"('the', 'area')",8,the area
"('that', 'it')",8,that it
"('about', 'the')",8,about the
"('too', 'much')",8,too much
"('a', 'room')",8,a room
"('distance', 'to')",8,distance to
"('such', 'a')",8,such a
"('to', 'all')",8,to all
"('we', 'got')",8,we got
"('staff', 'at')",8,staff at
"('wouldn', 't')",8,wouldn t
"('and', 'all')",8,and all
"('room', 'is')",8,room is
"('excellent', 'and')",8,excellent and
"('was', 'really')",8,was really
"('attentive', 'and')",8,attentive and
"('was', 'an')",8,was an
"('there', 'are')",8,there are
"('hotel', 'itself')",8,hotel itself
"('out', 'to')",8,out to
"('the', 'cruise')",8,the cruise
"('nice', 'and')",8,nice and
"('after', 'a')",8,after a
"('the', 'day')",8,the day
"('across', 'the')",8,across the
"('spent', 'a')",8,spent a
"('the', 'next')",8,the next
"('however', 'the')",8,however the
"('service', 'the')",8,service the
"('enjoyed', 'the')",8,enjoyed the
"('us', 'to')",7,us to
"('hotel', 'it')",7,hotel it
"('to', 'sleep')",7,to sleep
"('il', 'comandante')",7,il comandante
"('is', 'close')",7,is close
"('the', 'price')",7,the price
"('are', 'in')",7,are in
"('the', 'wellness')",7,the wellness
"('was', 'that')",7,was that
"('would', 'be')",7,would be
"('and', 'clean')",7,and clean
"('hotel', 'i')",7,hotel i
"('will', 'be')",7,will be
"('room', 'service')",7,room service
"('is', 'modern')",7,is modern
"('s', 'not')",7,s not
"('to', 'eat')",7,to eat
"('we', 'enjoyed')",7,we enjoyed
"('go', 'back')",7,go back
"('is', 'one')",7,is one
"('due', 'to')",7,due to
"('at', 'least')",7,at least
"('way', 'to')",7,way to
"('comfortable', 'the')",7,comfortable the
"('staff', 'the')",7,staff the
"('up', 'to')",7,up to
"('top', 'floor')",7,top floor
"('naples', 'with')",7,naples with
"('stay', 'there')",7,stay there
"('not', 'be')",7,not be
"('you', 'have')",7,you have
"('you', 'get')",7,you get
"('the', 'place')",7,the place
"('less', 'than')",7,less than
"('well', 'equipped')",7,well equipped
"('excellent', 'service')",7,excellent service
"('we', 'needed')",7,we needed
"('a', 'short')",7,a short
"('desk', 'staff')",7,desk staff
"('good', 'location')",7,good location
"('unfortunately', 'we')",7,unfortunately we
"('modern', 'hotel')",7,modern hotel
"('helpful', 'staff')",7,helpful staff
"('time', 'in')",7,time in
"('our', 'trip')",7,our trip
"('is', 'excellent')",7,is excellent
"('breakfast', 'is')",7,breakfast is
"('spacious', 'and')",7,spacious and
"('can', 'not')",7,can not
"('hotel', 'staff')",7,hotel staff
"('would', 'stay')",7,would stay
"('in', 'italy')",7,in italy
"('and', 'in')",7,and in
"('stayed', 'here')",7,stayed here
"('room', 'we')",7,room we
"('at', 'a')",7,at a
"('top', 'notch')",7,top notch
"('the', 'evening')",7,the evening
"('the', 'bar')",7,the bar
"('the', 'roof')",7,the roof
"('be', 'back')",7,be back
"('view', 'the')",7,view the
"('time', 'we')",7,time we
"('my', 'husband')",7,my husband
"('all', 'of')",7,all of
"('nights', 'at')",7,nights at
"('out', 'the')",7,out the
"('and', 'so')",7,and so
"('is', 'an')",7,is an
"('were', 'able')",7,were able
"('was', 'closed')",7,was closed
"('could', 'not')",7,could not
"('naples', 'the')",7,naples the
"('to', 'visit')",7,to visit
"('our', 'first')",7,our first
"('into', 'the')",7,into the
"('hotel', 'but')",7,hotel but
"('to', 'leave')",7,to leave
"('to', 'relax')",7,to relax
"('had', 'an')",7,had an
"('there', 'were')",7,there were
"('at', 'breakfast')",7,at breakfast
"('the', 'street')",6,the street
"('were', 'so')",6,were so
"('best', 'hotel')",6,best hotel
"('modern', 'with')",6,modern with
"('was', 'wonderful')",6,was wonderful
"('need', 'to')",6,need to
"('stay', 'the')",6,stay the
"('a', 'really')",6,a really
"('to', 'spend')",6,to spend
"('the', 'time')",6,the time
"('time', 'the')",6,time the
"('the', 'morning')",6,the morning
"('wife', 'and')",6,wife and
"('in', 'and')",6,in and
"('have', 'stayed')",6,have stayed
"('the', 'beautiful')",6,the beautiful
"('as', 'i')",6,as i
"('the', 'moment')",6,the moment
"('i', 'did')",6,i did
"('hotel', 'has')",6,hotel has
"('shower', 'the')",6,shower the
"('but', 'there')",6,but there
"('they', 'are')",6,they are
"('lobby', 'bar')",6,lobby bar
"('we', 'paid')",6,we paid
"('you', 're')",6,you re
"('this', 'place')",6,this place
"('in', 'their')",6,in their
"('again', 'the')",6,again the
"('thank', 'you')",6,thank you
"('friendly', 'the')",6,friendly the
"('the', 'entire')",6,the entire
"('my', 'stay')",6,my stay
"('to', 'do')",6,to do
"('on', 'arrival')",6,on arrival
"('very', 'poor')",6,very poor
"('i', 'could')",6,i could
"('were', 'excellent')",6,were excellent
"('1', 'night')",6,1 night
"('t', 'have')",6,t have
"('was', 'good')",6,was good
"('friendly', 'staff')",6,friendly staff
"('to', 'enjoy')",6,to enjoy
"('is', 'perfect')",6,is perfect
