bigram,frequency,bigrams
"('any', 'vegetarian')",1,any vegetarian
"('vegetarian', 'food')",1,vegetarian food
"('food', 'we')",1,food we
"('have', 'choiced')",1,have choiced
"('choiced', 'naples')",1,choiced naples
"('a', 'weekend')",1,a weekend
"('weekend', 'stop')",1,weekend stop
"('stop', 'before')",1,stop before
"('before', 'reaching')",1,before reaching
"('reaching', 'sicily')",1,reaching sicily
"('sicily', 'having')",1,sicily having
"('having', 'already')",1,having already
"('already', 'been')",1,already been
"('been', 'in')",1,been in
"('that', 'area')",1,that area
"('area', 'last')",1,area last
"('last', 'year')",1,last year
"('my', 'complimentary')",1,my complimentary
"('get', 'my')",1,get my
"('hour', 'to')",1,hour to
"('spacious', 'this')",1,spacious this
"('plus', 'sude')",1,plus sude
"('sude', 'the')",1,sude the
"('spa', 'look')",1,spa look
"('look', 'very')",1,look very
"('modern', 'staff')",1,modern staff
"('friendly', 'hotel')",1,friendly hotel
"('very', 'model')",1,very model
"('model', 'and')",1,model and
"('appointed', 'all')",1,appointed all
"('area', 'of')",1,area of
"('5', 'calls')",1,5 calls
"('of', 'road')",1,of road
"('road', 'repairs')",1,road repairs
"('repairs', 'going')",1,repairs going
"('on', 'which')",1,on which
"('service', 'needs')",1,service needs
"('needs', 'a')",1,needs a
"('of', 'improvement')",1,of improvement
"('improvement', 'it')",1,improvement it
"('took', '5')",1,took 5
"('very', 'asian')",1,very asian
"('asian', 'designer')",1,asian designer
"('designer', 'feel')",1,designer feel
"('cellar', 'is')",1,cellar is
"('second', 'i')",1,second i
"('arrived', 'i')",1,arrived i
"('could', 'tell')",1,could tell
"('tell', 'the')",1,tell the
"('friendly', 'greeting')",1,friendly greeting
"('greeting', 'and')",1,greeting and
"('and', 'smooth')",1,and smooth
"('smooth', 'check')",1,smooth check
"('the', 'kind')",1,the kind
"('kind', 'lady')",1,kind lady
"('lady', 'on')",1,lady on
"('reception', 'showed')",1,reception showed
"('how', 'everything')",1,how everything
"('everything', 'worked')",1,everything worked
"('worked', 'the')",1,worked the
"('small', 'touches')",1,small touches
"('touches', 'an')",1,touches an
"('hotel', 'should')",1,hotel should
"('have', 'water')",1,have water
"('and', 'charging')",1,and charging
"('charging', 'port')",1,charging port
"('gorgeous', 'from')",1,gorgeous from
"('wine', 'cellar')",1,wine cellar
"('was', 'accommodating')",1,was accommodating
"('the', 'wine')",1,the wine
"('and', 'bay')",1,and bay
"('the', 'ships')",1,the ships
"('large', 'well')",1,large well
"('with', 'clean')",1,with clean
"('clean', 'lines')",1,clean lines
"('lines', 'breakfast')",1,lines breakfast
"('morning', 'was')",1,morning was
"('lovely', 'room')",1,lovely room
"('another', 'great')",1,another great
"('harbour', 'walking')",1,harbour walking
"('terminal', 'and')",1,terminal and
"('castle', 'staff')",1,castle staff
"('the', 'bartender')",1,the bartender
"('bartender', 'in')",1,bartender in
"('great', 'nicola')",1,great nicola
"('nicola', 'was')",1,nicola was
"('lovely', 'very')",1,lovely very
"('interesting', 'to')",1,interesting to
"('to', 'speak')",1,to speak
"('great', 'negroni')",1,great negroni
"('negroni', 'the')",1,negroni the
"('right', 'near')",1,right near
"('comfortable', 'pillows')",1,comfortable pillows
"('pillows', 'robes')",1,pillows robes
"('robes', 'slippers')",1,robes slippers
"('minutes', 'away')",1,minutes away
"('away', 'the')",1,away the
"('but', 'cute')",1,but cute
"('cute', 'and')",1,cute and
"('vesuvius', 'wouldn')",1,vesuvius wouldn
"('think', 'twice')",1,think twice
"('twice', 'about')",1,twice about
"('staying', 'here')",1,staying here
"('every', 'second')",1,every second
"('second', 'and')",1,second and
"('and', 'didn')",1,and didn
"('leave', 'everything')",1,leave everything
"('super', 'impressive')",1,super impressive
"('impressive', 'they')",1,impressive they
"('they', 'obviously')",1,they obviously
"('obviously', 'put')",1,obviously put
"('of', 'work')",1,of work
"('work', 'into')",1,work into
"('into', 'their')",1,into their
"('their', 'decor')",1,their decor
"('decor', 'because')",1,decor because
"('link', 'a')",1,link a
"('metro', 'link')",1,metro link
"('a', 'metro')",1,a metro
"('could', 'imagine')",1,could imagine
"('slippers', 'which')",1,slippers which
"('i', 'might')",1,i might
"('might', 'add')",1,might add
"('add', 'is')",1,add is
"('luxury', 'found')",1,luxury found
"('found', 'in')",1,found in
"('many', 'italian')",1,many italian
"('italian', 'hotels')",1,italian hotels
"('other', 'amenities')",1,other amenities
"('imagine', 'this')",1,imagine this
"('beside', 'the')",1,beside the
"('a', 'haven')",1,a haven
"('haven', 'in')",1,haven in
"('definitely', 'whilst')",1,definitely whilst
"('whilst', 'travelling')",1,whilst travelling
"('travelling', 'through')",1,travelling through
"('through', 'italy')",1,through italy
"('italy', 'it')",1,italy it
"('s', 'right')",1,s right
"('right', 'beside')",1,right beside
"('suite', 'which')",1,suite which
"('i', 'showed')",1,i showed
"('after', 'i')",1,after i
"('knows', 'a')",1,knows a
"('3000', 'sq')",1,3000 sq
"('sq', 'ft')",1,sq ft
"('ft', 'gym')",1,ft gym
"('gym', 'with')",1,gym with
"('with', 'free')",1,with free
"('free', 'weights')",1,free weights
"('weights', 'machine')",1,weights machine
"('and', 'cardio')",1,and cardio
"('cardio', 'location')",1,cardio location
"('for', 'cruising')",1,for cruising
"('cruising', 'to')",1,cruising to
"('or', 'taking')",1,or taking
"('car', 'to')",1,car to
"('pompeii', 'rooms')",1,pompeii rooms
"('well', 'built')",1,well built
"('built', 'clearly')",1,built clearly
"('clearly', 'the')",1,clearly the
"('the', 'owner')",1,the owner
"('owner', 'or')",1,owner or
"('or', 'owning')",1,or owning
"('owning', 'group')",1,owning group
"('floor', '3000')",1,floor 3000
"('michelin', 'restaurant')",1,michelin restaurant
"('amazing', 'michelin')",1,amazing michelin
"('smoke', 'salmon')",1,smoke salmon
"('the', 'free')",1,the free
"('free', 'breakfast')",1,free breakfast
"('touch', 'although')",1,touch although
"('although', 'mostly')",1,although mostly
"('mostly', 'sugary')",1,mostly sugary
"('sugary', 'carb')",1,sugary carb
"('carb', 'type')",1,carb type
"('type', 'foods')",1,type foods
"('foods', 'out')",1,foods out
"('salmon', 'that')",1,salmon that
"('it', 'hotel')",1,it hotel
"('the', 'all')",1,the all
"('all', 'a')",1,all a
"('a', 'cart')",1,a cart
"('cart', 'menu')",1,cart menu
"('menu', 'they')",1,menu they
"('brought', 'us')",1,brought us
"('nice', 'plate')",1,nice plate
"('plate', 'and')",1,plate and
"('had', 'it')",1,had it
"('hotel', 'knows')",1,hotel knows
"('quality', 'product')",1,quality product
"('disputed', 'even')",1,disputed even
"('product', 'line')",1,product line
"('rude', 'pompous')",1,rude pompous
"('pompous', 'and')",1,pompous and
"('and', 'unresponsive')",1,and unresponsive
"('unresponsive', 'we')",1,unresponsive we
"('emailed', 'several')",1,emailed several
"('several', 'times')",1,several times
"('times', 'once')",1,times once
"('once', 'about')",1,once about
"('availability', 'in')",1,availability in
"('in', 'which')",1,in which
"('which', 'case')",1,which case
"('case', 'we')",1,case we
"('not', 'receive')",1,not receive
"('a', 'response')",1,a response
"('response', 'and')",1,response and
"('again', 'about')",1,again about
"('the', '7000')",1,the 7000
"('7000', 'credit')",1,7000 credit
"('card', 'holds')",1,card holds
"('holds', 'during')",1,holds during
"('they', 'disputed')",1,they disputed
"('often', 'rude')",1,often rude
"('was', 'often')",1,was often
"('quality', 'staff')",1,quality staff
"('owners', 'work')",1,owners work
"('line', 'where')",1,line where
"('where', 'this')",1,where this
"('hotel', 'goes')",1,hotel goes
"('goes', 'downhill')",1,goes downhill
"('downhill', 'is')",1,downhill is
"('s', 'staff')",1,s staff
"('staff', 'which')",1,staff which
"('actually', 'disappointing')",1,actually disappointing
"('as', 'owners')",1,as owners
"('work', 'so')",1,work so
"('compromise', 'the')",1,compromise the
"('so', 'hard')",1,so hard
"('to', 'build')",1,to build
"('build', 'something')",1,build something
"('something', 'just')",1,something just
"('the', 'face')",1,the face
"('face', 'of')",1,face of
"('the', 'company')",1,the company
"('company', 'staff')",1,company staff
"('staff', 'compromise')",1,staff compromise
"('of', 'availability')",1,of availability
"('showed', 'plenty')",1,showed plenty
"('hotel', 'showed')",1,hotel showed
"('great', 'when')",1,great when
"('i', 'definitely')",1,i definitely
"('will', 'go')",1,will go
"('fantastic', 'location')",1,fantastic location
"('great', 'bar')",1,great bar
"('pool', 'great')",1,pool great
"('relaxing', 'respite')",1,relaxing respite
"('respite', 'after')",1,respite after
"('day', 'of')",1,day of
"('of', 'travel')",1,of travel
"('travel', 'we')",1,travel we
"('again', 'absolutely')",1,again absolutely
"('absolutely', 'the')",1,absolutely the
"('napoli', 'fabulous')",1,napoli fabulous
"('fabulous', 'location')",1,fabulous location
"('and', 'easy')",1,and easy
"('visit', 'amalfi')",1,visit amalfi
"('coast', 'locations')",1,coast locations
"('locations', 'and')",1,locations and
"('modern', 'aesthetic')",1,modern aesthetic
"('aesthetic', 'loved')",1,aesthetic loved
"('it', 'fabulous')",1,it fabulous
"('i', 'go')",1,i go
"('pasta', 'we')",1,pasta we
"('befits', 'the')",1,befits the
"('best', 'pasta')",1,best pasta
"('city', 'highlights')",1,city highlights
"('highlights', 'and')",1,highlights and
"('or', 'from')",1,or from
"('rooftop', 'swimming')",1,rooftop swimming
"('swimming', 'pool')",1,swimming pool
"('the', 'vesuvius')",1,the vesuvius
"('vesuvius', 'is')",1,vesuvius is
"('staff', 'gave')",1,staff gave
"('us', 'fantastic')",1,us fantastic
"('fantastic', 'tips')",1,fantastic tips
"('tips', 'on')",1,tips on
"('on', 'where')",1,on where
"('eat', 'their')",1,eat their
"('their', 'own')",1,their own
"('own', 'michelin')",1,own michelin
"('closed', 'as')",1,closed as
"('a', 'monday')",1,a monday
"('monday', 'evening')",1,monday evening
"('evening', 'our')",1,evening our
"('our', 'lunch')",1,our lunch
"('lunch', 'at')",1,lunch at
"('and', 'rooftop')",1,and rooftop
"('pool', 'also')",1,pool also
"('to', 'return')",1,to return
"('return', 'and')",1,return and
"('insufficient', 'towel')",1,insufficient towel
"('towel', 'hanging')",1,towel hanging
"('hanging', 'space')",1,hanging space
"('and', 'annoying')",1,and annoying
"('annoying', 'movement')",1,annoying movement
"('movement', 'sensitive')",1,movement sensitive
"('sensitive', 'lighting')",1,sensitive lighting
"('lighting', 'which')",1,lighting which
"('which', 'leaves')",1,which leaves
"('leaves', 'shower')",1,leaves shower
"('shower', 'room')",1,shower room
"('darkness', 'after')",1,darkness after
"('minutes', 'i')",1,minutes i
"('shower', 'overall')",1,shower overall
"('the', 'style')",1,the style
"('style', 'of')",1,style of
"('the', 'establishment')",1,the establishment
"('establishment', 'the')",1,establishment the
"('the', 'friendly')",1,the friendly
"('made', 'for')",1,made for
"('stay', 'as')",1,stay as
"('have', 'insufficient')",1,have insufficient
"('rooms', 'have')",1,rooms have
"('wet', 'rooms')",1,wet rooms
"('an', 'outstanding')",1,an outstanding
"('and', 'stay')",1,and stay
"('again', 'boutique')",1,again boutique
"('boutique', 'style')",1,boutique style
"('with', 'lovely')",1,with lovely
"('lovely', 'bar')",1,lovely bar
"('restaurant', 'views')",1,restaurant views
"('views', 'out')",1,views out
"('naples', 'friendly')",1,naples friendly
"('and', 'an')",1,and an
"('outstanding', 'restaurant')",1,outstanding restaurant
"('shower', 'wet')",1,shower wet
"('experience', 'rooms')",1,experience rooms
"('little', 'on')",1,little on
"('small', 'side')",1,small side
"('side', 'with')",1,side with
"('with', 'insufficient')",1,with insufficient
"('insufficient', 'space')",1,insufficient space
"('for', 'baggage')",1,for baggage
"('baggage', 'stylish')",1,baggage stylish
"('stylish', 'shower')",1,stylish shower
"('maximum', 'thanks')",1,maximum thanks
"('the', 'maximum')",1,the maximum
"('at', 'naples')",1,at naples
"('associated', 'hotels')",1,associated hotels
"('enough', 'positive')",1,enough positive
"('positive', 'about')",1,positive about
"('the', 'common')",1,the common
"('spaces', 'are')",1,spaces are
"('beautiful', 'however')",1,beautiful however
"('from', 'ideal')",1,from ideal
"('ideal', 'neighborhood')",1,ideal neighborhood
"('is', 'shabby')",1,is shabby
"('shabby', 'and')",1,shabby and
"('was', 'uncomfortable')",1,was uncomfortable
"('uncomfortable', 'to')",1,uncomfortable to
"('would', 'most')",1,would most
"('likely', 'stay')",1,likely stay
"('the', 'santa')",1,the santa
"('santa', 'lucia')",1,santa lucia
"('lucia', 'area')",1,lucia area
"('with', '5')",1,with 5
"('the', 'wow')",1,the wow
"('wow', 'factors')",1,wow factors
"('factors', 'associated')",1,factors associated
"('associated', 'with')",1,associated with
"('another', 'table')",1,another table
"('from', 'another')",1,from another
"('ourselves', 'from')",1,ourselves from
"('3', 'of')",1,3 of
"('for', 'evening')",1,for evening
"('evening', 'drinks')",1,evening drinks
"('drinks', 'could')",1,drinks could
"('more', 'attentive')",1,more attentive
"('attentive', 'for')",1,attentive for
"('for', 'example')",1,for example
"('example', 'they')",1,example they
"('they', 'seated')",1,they seated
"('seated', '3')",1,seated 3
"('breakfast', 'at')",1,breakfast at
"('setting', 'ourselves')",1,setting ourselves
"('table', 'with')",1,table with
"('two', 'settings')",1,two settings
"('settings', 'but')",1,settings but
"('but', 'did')",1,but did
"('set', 'a')",1,set a
"('a', 'third')",1,a third
"('third', 'person')",1,third person
"('person', 'we')",1,person we
"('a', 'setting')",1,a setting
"('hyatt', 'associated')",1,hyatt associated
"('hotels', 'staff')",1,hotels staff
"('26h', 'stay')",1,26h stay
"('really', 'played')",1,really played
"('world', 'class')",1,world class
"('class', 'contemporary')",1,class contemporary
"('contemporary', 'art')",1,contemporary art
"('comandante', 'the')",1,comandante the
"('are', 'exceedingly')",1,are exceedingly
"('exceedingly', 'comfortable')",1,exceedingly comfortable
"('many', 'feature')",1,many feature
"('feature', 'stunning')",1,feature stunning
"('a', 'fabulous')",1,a fabulous
"('to', 'tour')",1,to tour
"('tour', 'naples')",1,tour naples
"('harbor', 'suite')",1,harbor suite
"('perfect', 'with')",1,perfect with
"('with', 'more')",1,with more
"('than', 'enough')",1,than enough
"('four', 'of')",1,four of
"('us', 'would')",1,us would
"('i', 'came')",1,i came
"('naples', 'unfortunately')",1,naples unfortunately
"('could', 'only')",1,could only
"('our', '26h')",1,our 26h
"('cactus', 'world')",1,cactus world
"('exotic', 'cactus')",1,exotic cactus
"('with', 'exotic')",1,with exotic
"('and', 'by')",1,and by
"('played', 'their')",1,played their
"('part', 'to')",1,part to
"('stay', 'perfect')",1,stay perfect
"('in', 'great')",1,in great
"('great', 'condition')",1,great condition
"('condition', 'with')",1,condition with
"('facilities', 'i')",1,facilities i
"('stayed', 'and')",1,stayed and
"('many', 'hotels')",1,many hotels
"('far', 'my')",1,far my
"('adorned', 'with')",1,adorned with
"('favorite', 'is')",1,favorite is
"('is', 'romeo')",1,is romeo
"('hotel', 'across')",1,hotel across
"('port', 'a')",1,port a
"('beautiful', 'well')",1,beautiful well
"('well', 'kept')",1,well kept
"('kept', 'modern')",1,kept modern
"('modern', 'building')",1,modern building
"('building', 'adorned')",1,building adorned
"('as', 'befits')",1,as befits
"('the', 'nature')",1,the nature
"('fact', 'the')",1,fact the
"('providing', 'information')",1,providing information
"('get', 'around')",1,get around
"('city', 'booked')",1,city booked
"('booked', 'my')",1,booked my
"('stay', 'through')",1,stay through
"('amex', 'to')",1,amex to
"('the', 'fhr')",1,the fhr
"('fhr', 'benefits')",1,fhr benefits
"('benefits', 'but')",1,benefits but
"('but', 'upon')",1,but upon
"('arrival', 'phiippo')",1,arrival phiippo
"('phiippo', 'and')",1,phiippo and
"('and', 'slvia')",1,and slvia
"('slvia', 'the')",1,slvia the
"('two', 'people')",1,two people
"('working', 'the')",1,working the
"('desk', 'told')",1,desk told
"('told', 'me')",1,told me
"('me', 'that')",1,me that
"('that', 'my')",1,that my
"('my', 'reservation')",1,my reservation
"('was', 'booked')",1,was booked
"('information', 'to')",1,information to
"('in', 'providing')",1,in providing
"('nature', 'and')",1,nature and
"('arrival', 'staff')",1,arrival staff
"('albeit', 'absolutely')",1,albeit absolutely
"('absolutely', 'no')",1,absolutely no
"('pool', 'unless')",1,pool unless
"('unless', 'you')",1,unless you
"('you', 'go')",1,you go
"('go', 'looking')",1,go looking
"('it', 'beautiful')",1,it beautiful
"('beautiful', 'day')",1,beautiful day
"('day', 'spa')",1,day spa
"('the', 'basement')",1,the basement
"('basement', 'of')",1,basement of
"('hotel', 'interesting')",1,hotel interesting
"('interesting', 'lobby')",1,interesting lobby
"('with', 'table')",1,with table
"('table', 'games')",1,table games
"('games', 'unfortunately')",1,games unfortunately
"('t', 'notice')",1,t notice
"('notice', 'until')",1,notice until
"('hotel', 'amenities')",1,hotel amenities
"('not', 'pointed')",1,not pointed
"('pointed', 'out')",1,pointed out
"('through', 'expedia')",1,through expedia
"('expedia', 'a')",1,expedia a
"('a', 'total')",1,a total
"('total', 'lie')",1,total lie
"('of', 'insistence')",1,of insistence
"('insistence', 'they')",1,insistence they
"('they', 'finally')",1,they finally
"('finally', 'agreed')",1,finally agreed
"('agreed', 'to')",1,agreed to
"('to', 'include')",1,to include
"('include', 'breakfast')",1,include breakfast
"('the', 'rate')",1,the rate
"('rate', 'making')",1,rate making
"('it', 'seem')",1,it seem
"('seem', 'like')",1,seem like
"('huge', 'gesture')",1,huge gesture
"('gesture', 'on')",1,gesture on
"('part', 'but')",1,part but
"('but', 'said')",1,but said
"('the', 'upgrade')",1,the upgrade
"('upgrade', 'wasn')",1,upgrade wasn
"('t', 'possible')",1,t possible
"('possible', 'due')",1,possible due
"('to', 'no')",1,to no
"('availability', 'when')",1,availability when
"('control', 'after')",1,control after
"('and', 'control')",1,and control
"('only', 'they')",1,only they
"('fact', 'booked')",1,fact booked
"('i', 'presented')",1,i presented
"('presented', 'them')",1,presented them
"('them', 'with')",1,them with
"('with', 'proof')",1,with proof
"('proof', 'written')",1,proof written
"('written', 'amex')",1,written amex
"('amex', 'confirmation')",1,amex confirmation
"('confirmation', 'that')",1,confirmation that
"('the', 'reservation')",1,the reservation
"('amex', 'and')",1,amex and
"('course', 'only')",1,course only
"('care', 'said')",1,care said
"('that', 'all')",1,that all
"('that', 'mattered')",1,that mattered
"('mattered', 'was')",1,mattered was
"('was', 'their')",1,was their
"('their', 'online')",1,their online
"('online', 'system')",1,online system
"('system', 'which')",1,system which
"('which', 'of')",1,which of
"('stay', 'albeit')",1,stay albeit
"('popular', 'during')",1,popular during
"('very', 'popular')",1,very popular
"('room', 'mediocre')",1,room mediocre
"('stay', '9th')",1,stay 9th
"('restaurant', 'maitre')",1,restaurant maitre
"('maitre', 'd')",1,maitre d
"('d', 'rude')",1,d rude
"('and', 'although')",1,and although
"('although', 'a')",1,although a
"('service', 'waited')",1,service waited
"('waited', '20')",1,waited 20
"('20', 'mins')",1,20 mins
"('mins', 'to')",1,mins to
"('be', 'offered')",1,be offered
"('offered', 'a')",1,offered a
"('a', 'drinks')",1,a drinks
"('drinks', 'menu')",1,drinks menu
"('menu', 'and')",1,menu and
"('asked', 'to')",1,asked to
"('order', 'i')",1,order i
"('told', 'all')",1,told all
"('all', 'waiters')",1,all waiters
"('waiters', 'very')",1,waiters very
"('busy', 'on')",1,busy on
"('and', 'during')",1,and during
"('desk', 'excellent')",1,desk excellent
"('accurate', 'service')",1,accurate service
"('rooms', 'less')",1,rooms less
"('expensive', 'not')",1,expensive not
"('not', 'up')",1,not up
"('to', 'usual')",1,to usual
"('usual', 'mr')",1,usual mr
"('mr', 'and')",1,mr and
"('and', 'mrs')",1,and mrs
"('smith', 'standard')",1,smith standard
"('standard', 'mediocre')",1,standard mediocre
"('mediocre', 'rooms')",1,mediocre rooms
"('than', 'adequate')",1,than adequate
"('hotel', 'accurate')",1,hotel accurate
"('adequate', 'understandably')",1,adequate understandably
"('understandably', 'rooms')",1,understandably rooms
"('rooms', 'not')",1,rooms not
"('as', 'website')",1,as website
"('website', 'suggests')",1,website suggests
"('suggests', 'and')",1,suggests and
"('and', 'comments')",1,and comments
"('comments', 'about')",1,comments about
"('about', 'hotel')",1,about hotel
"('floor', 'room')",1,floor room
"('mediocre', 'room')",1,mediocre room
"('small', 'outdoor')",1,small outdoor
"('service', 'poor')",1,service poor
"('no', 'means')",1,no means
"('means', 'a')",1,means a
"('hotel', 'far')",1,hotel far
"('from', 'it')",1,from it
"('disappointing', 'best')",1,disappointing best
"('city', 'i')",1,city i
"('few', 'decent')",1,few decent
"('decent', 'hotels')",1,decent hotels
"('hotels', 'here')",1,hotels here
"('so', 'if')",1,so if
"('if', 'want')",1,if want
"('want', 'at')",1,want at
"('least', '4')",1,least 4
"('4', 'star')",1,4 star
"('star', 'plus')",1,star plus
"('plus', 'then')",1,plus then
"('option', 'staff')",1,option staff
"('are', 'generally')",1,are generally
"('generally', 'very')",1,generally very
"('helpful', 'ok')",1,helpful ok
"('ok', 'restaurant')",1,ok restaurant
"('by', 'no')",1,by no
"('adrift', 'this')",1,adrift this
"('towels', 'adrift')",1,towels adrift
"('left', 'untouched')",1,left untouched
"('poor', 'turn')",1,poor turn
"('clearly', 'limited')",1,clearly limited
"('to', 'literally')",1,to literally
"('literally', 'turning')",1,literally turning
"('turning', 'down')",1,turning down
"('down', 'bed')",1,down bed
"('bed', 'covers')",1,bed covers
"('covers', 'bathroom')",1,covers bathroom
"('bathroom', 'left')",1,bathroom left
"('untouched', 'and')",1,untouched and
"('and', 'towels')",1,and towels
"('and', 'unserviced')",1,and unserviced
"('unserviced', 'even')",1,unserviced even
"('even', 'from')",1,even from
"('day', 'with')",1,day with
"('with', 'toothpaste')",1,with toothpaste
"('toothpaste', 'marks')",1,toothpaste marks
"('marks', 'still')",1,marks still
"('still', 'remaining')",1,still remaining
"('remaining', 'and')",1,remaining and
"('s', 'all')",1,s all
"('and', 'cool')",1,and cool
"('cool', 'the')",1,cool the
"('that', 'got')",1,that got
"('port', 'got')",1,port got
"('a', 'seat')",1,a seat
"('seat', 'and')",1,seat and
"('on', 'board')",1,on board
"('board', 'vs')",1,board vs
"('vs', 'the')",1,vs the
"('station', 'guests')",1,station guests
"('guests', 'some')",1,guests some
"('told', 'the')",1,told the
"('the', 'bus')",1,the bus
"('bus', 'was')",1,bus was
"('full', 'the')",1,full the
"('the', 'perks')",1,the perks
"('perks', 'of')",1,perks of
"('booking', 'directly')",1,booking directly
"('directly', 'through')",1,directly through
"('hotel', 'free')",1,hotel free
"('free', 'access')",1,free access
"('spa', 'downstairs')",1,spa downstairs
"('downstairs', 'and')",1,downstairs and
"('treat', 'in')",1,treat in
"('on', 'at')",1,on at
"('everyone', 'that')",1,everyone that
"('of', 'customers')",1,of customers
"('shuttle', 'was')",1,shuttle was
"('dimming', 'the')",1,dimming the
"('and', 'comfort')",1,and comfort
"('room', 'made')",1,room made
"('made', 'up')",1,made up
"('this', 'disappointment')",1,this disappointment
"('disappointment', 'the')",1,disappointment the
"('all', 'areas')",1,all areas
"('areas', 'we')",1,areas we
"('used', 'were')",1,used were
"('were', 'extraordinarily')",1,were extraordinarily
"('extraordinarily', 'gracious')",1,extraordinarily gracious
"('gracious', 'and')",1,gracious and
"('a', 'delight')",1,a delight
"('delight', 'this')",1,delight this
"('located', 'for')",1,located for
"('us', 'taking')",1,us taking
"('ferry', 'into')",1,ferry into
"('into', 'town')",1,into town
"('shuttle', 'the')",1,shuttle the
"('morning', 'bonus')",1,morning bonus
"('bonus', 'the')",1,bonus the
"('honeymoon', 'and')",1,honeymoon and
"('the', 'bottle')",1,the bottle
"('prosecco', 'they')",1,prosecco they
"('brought', 'up')",1,brought up
"('night', 'stopover')",1,night stopover
"('stopover', 'before')",1,stopover before
"('before', 'catching')",1,before catching
"('catching', 'our')",1,catching our
"('flight', 'home')",1,flight home
"('an', 'odd')",1,an odd
"('odd', 'location')",1,odd location
"('overlooking', 'part')",1,overlooking part
"('docks', 'not')",1,docks not
"('particularly', 'pleasant')",1,particularly pleasant
"('pleasant', 'area')",1,pleasant area
"('the', 'foyer')",1,the foyer
"('foyer', 'was')",1,foyer was
"('some', 'interesting')",1,some interesting
"('interesting', 'water')",1,interesting water
"('water', 'features')",1,water features
"('features', 'but')",1,features but
"('the', 'actual')",1,the actual
"('actual', 'reception')",1,actual reception
"('reception', 'area')",1,reception area
"('with', 'barely')",1,with barely
"('ours', 'was')",1,ours was
"('hotel', 'ours')",1,hotel ours
"('would', 'return')",1,would return
"('late', '10')",1,late 10
"('only', 'negative')",1,only negative
"('negative', 'was')",1,negative was
"('that', 'housekeeping')",1,that housekeeping
"('housekeeping', 'came')",1,housekeeping came
"('to', 'knock')",1,to knock
"('knock', 'on')",1,knock on
"('our', 'door')",1,our door
"('door', 'quite')",1,door quite
"('quite', 'late')",1,quite late
"('10', 'pm')",1,10 pm
"('over', 'i')",1,over i
"('pm', 'when')",1,pm when
"('were', 'already')",1,were already
"('already', 'in')",1,already in
"('bed', 'before')",1,bed before
"('our', 'morning')",1,our morning
"('flight', 'however')",1,flight however
"('however', 'for')",1,however for
"('night', 'stop')",1,night stop
"('stop', 'over')",1,stop over
"('overcast', 'dimming')",1,overcast dimming
"('was', 'overcast')",1,was overcast
"('weather', 'was')",1,weather was
"('all', 'having')",1,all having
"('option', 'the')",1,option the
"('really', 'excellent')",1,really excellent
"('excellent', 'however')",1,excellent however
"('are', 'modern')",1,are modern
"('not', 'sleek')",1,not sleek
"('sleek', 'quite')",1,sleek quite
"('quite', 'dark')",1,quite dark
"('dark', 'and')",1,dark and
"('area', 'isn')",1,area isn
"('t', 'great')",1,t great
"('great', 'after')",1,great after
"('after', 'dark')",1,after dark
"('dark', 'for')",1,dark for
"('money', 'you')",1,money you
"('could', 'stay')",1,could stay
"('stay', 'over')",1,stay over
"('the', 'fancier')",1,the fancier
"('fancier', 'chiaia')",1,fancier chiaia
"('chiaia', 'district')",1,chiaia district
"('district', 'and')",1,district and
"('and', 'be')",1,and be
"('advantage', 'then')",1,advantage then
"('an', 'advantage')",1,an advantage
"('beverello', 'an')",1,beverello an
"('punchy', 'considering')",1,punchy considering
"('sure', 'this')",1,sure this
"('probably', 'one')",1,probably one
"('the', 'bunch')",1,the bunch
"('bunch', 'however')",1,bunch however
"('however', 'at')",1,however at
"('at', 'more')",1,at more
"('than', '350')",1,than 350
"('350', 'a')",1,350 a
"('certainly', 'punchy')",1,certainly punchy
"('considering', 'other')",1,considering other
"('molo', 'beverello')",1,molo beverello
"('options', 'which')",1,options which
"('which', 'are')",1,which are
"('are', 'more')",1,are more
"('more', 'central')",1,more central
"('central', 'if')",1,central if
"('and', 'consider')",1,and consider
"('consider', 'being')",1,consider being
"('being', 'close')",1,being close
"('port', 'molo')",1,port molo
"('be', 'in')",1,be in
"('having', 'said')",1,having said
"('waterfront', 'room')",1,waterfront room
"('the', 'a')",1,the a
"('both', 'nights')",1,both nights
"('stay', 'you')",1,stay you
"('see', 'mount')",1,see mount
"('from', 'harbour')",1,from harbour
"('rooms', 'bar')",1,rooms bar
"('chose', 'the')",1,chose the
"('its', 'nearness')",1,its nearness
"('nearness', 'to')",1,nearness to
"('ferries', 'going')",1,ferries going
"('sorrento', 'as')",1,sorrento as
"('had', 'planned')",1,had planned
"('planned', 'a')",1,planned a
"('day', 'excursion')",1,day excursion
"('excursion', 'but')",1,excursion but
"('chose', 'it')",1,chose it
"('also', 'for')",1,also for
"('its', 'commanding')",1,its commanding
"('commanding', 'views')",1,commanding views
"('capri', 'both')",1,capri both
"('see', 'from')",1,see from
"('my', 'waterfront')",1,my waterfront
"('visited', 'both')",1,visited both
"('area', 'that')",1,area that
"('promenade', 'area')",1,promenade area
"('stop', 'from')",1,stop from
"('a', 'stunning')",1,a stunning
"('hotel', 'sleek')",1,hotel sleek
"('modern', 'very')",1,modern very
"('we', 'liked')",1,we liked
"('location', 'based')",1,location based
"('on', 'proximity')",1,on proximity
"('to', 'metro')",1,to metro
